\\Number    Square Root     Square      Cube
\\======    ===========     ======      ====
     1        1.0000           1        1
     2        1.4142           4        8
     3        1.7321           9       27
     4        2.0000          16       64
     5        2.2361          25      125
     6        2.4495          36      216
     7        2.6458          49      343
     8        2.8284          64      512
     9        3.0000          81      729
    10        3.1623         100     1000
